GP_RBF_RMSE_mean,GP_RBF_NLPD_mean,GP_RBF_MSLL_mean,GP_RBF_Coverage_mean,GP_RBF_Interval_Len_mean,GP_Laplace_RMSE_mean,GP_Laplace_NLPD_mean,GP_Laplace_MSLL_mean,GP_Laplace_Coverage_mean,GP_Laplace_Interval_Len_mean,GP_ARD_RBF_RMSE_mean,GP_ARD_RBF_NLPD_mean,GP_ARD_RBF_MSLL_mean,GP_ARD_RBF_Coverage_mean,GP_ARD_RBF_Interval_Len_mean,GP_ARD_Laplace_RMSE_mean,GP_ARD_Laplace_NLPD_mean,GP_ARD_Laplace_MSLL_mean,GP_ARD_Laplace_Coverage_mean,GP_ARD_Laplace_Interval_Len_mean,GP_RFM_Laplace_RMSE_mean,GP_RFM_Laplace_NLPD_mean,GP_RFM_Laplace_MSLL_mean,GP_RFM_Laplace_Coverage_mean,GP_RFM_Laplace_Interval_Len_mean,NG_Boost_RMSE_mean,NG_Boost_NLPD_mean,NG_Boost_MSLL_mean,NG_Boost_Coverage_mean,NG_Boost_Interval_Len_mean,Cat_Boost_Ensemble_RMSE_mean,Cat_Boost_Ensemble_NLPD_mean,Cat_Boost_Ensemble_MSLL_mean,Cat_Boost_Ensemble_Coverage_mean,Cat_Boost_Ensemble_Interval_Len_mean,GP_RBF_RMSE_std,GP_RBF_NLPD_std,GP_RBF_MSLL_std,GP_RBF_Coverage_std,GP_RBF_Interval_Len_std,GP_Laplace_RMSE_std,GP_Laplace_NLPD_std,GP_Laplace_MSLL_std,GP_Laplace_Coverage_std,GP_Laplace_Interval_Len_std,GP_ARD_RBF_RMSE_std,GP_ARD_RBF_NLPD_std,GP_ARD_RBF_MSLL_std,GP_ARD_RBF_Coverage_std,GP_ARD_RBF_Interval_Len_std,GP_ARD_Laplace_RMSE_std,GP_ARD_Laplace_NLPD_std,GP_ARD_Laplace_MSLL_std,GP_ARD_Laplace_Coverage_std,GP_ARD_Laplace_Interval_Len_std,GP_RFM_Laplace_RMSE_std,GP_RFM_Laplace_NLPD_std,GP_RFM_Laplace_MSLL_std,GP_RFM_Laplace_Coverage_std,GP_RFM_Laplace_Interval_Len_std,NG_Boost_RMSE_std,NG_Boost_NLPD_std,NG_Boost_MSLL_std,NG_Boost_Coverage_std,NG_Boost_Interval_Len_std,Cat_Boost_Ensemble_RMSE_std,Cat_Boost_Ensemble_NLPD_std,Cat_Boost_Ensemble_MSLL_std,Cat_Boost_Ensemble_Coverage_std,Cat_Boost_Ensemble_Interval_Len_std,features
8.111932754516602,3.740626072883606,-1.4058316469192504,0.04241112768650055,61.468224143981935,6.324280023574829,3.4319990396499636,-1.7144586205482484,0.03075557351112366,41.52197818756103,3.2896721005439757,3.071592998504639,-2.0748647332191466,0.046566689014434816,34.12183456420898,3.5598519921302794,2.8370124459266663,-2.309445250034332,0.03257780373096466,22.987019062042236,3.2011752247810366,2.716589081287384,-2.4298686623573302,0.03051113188266754,20.024790573120118,12.051677703857422,3.5412788867950438,-1.6051787972450255,0.013555586338043213,41.88215789794922,5.003268480300903,2.0666404008865356,-3.0798172831535338,0.01209997534751892,10.527710437774658,0.009737234197193478,0.0017133775360616173,0.0017133514016135253,0.000214016777564404,0.1021153001244811,0.006214464696723662,0.0009175767445951593,0.0009175828750195823,0.0003810326262019235,0.040119036746092414,0.0067884889196249696,0.0019845266340836327,0.00198460182690714,0.00017880344995915615,0.05456954632768559,0.007670770268425279,0.0009675628967249739,0.0009675736542070983,0.0002154441998416622,0.021883961441324755,0.031627241388121,0.006414189108640306,0.006414217010927493,0.0009663419164261409,0.08919503343200008,0.0,3.19816640680383e-05,3.195096072419485e-05,0.0,0.0003787485340101053,0.009376073656557647,0.00582640705786959,0.005826408531331592,0.0011232155583036096,0.03626625968772495,100.0
9.70756425857544,3.8901044011116026,-1.25635324716568,0.0398555725812912,69.82493667602539,7.496037745475769,3.6011420488357544,-1.5453156352043151,0.028177794814109803,48.441551780700685,5.77222089767456,3.5885639905929567,-1.5578938007354737,0.046000003814697266,54.45217037200928,6.133363890647888,3.4185131192207336,-1.7279445767402648,0.03023335337638855,40.62115211486817,3.3433902263641357,2.750397026538849,-2.3960606694221496,0.026700025796890257,20.435834312438963,26.900192260742188,4.391870498657227,-0.7545871734619141,0.03555560111999512,97.03475189208984,12.358874607086182,3.562536883354187,-1.5839208245277405,0.02178886830806732,35.42911224365234,0.00727665741031378,0.0007465451562177005,0.000746575189813625,0.00025603968097091004,0.05437204046984419,0.007417569725320705,0.0008457927186313076,0.0008457964687046019,0.0004133676430712421,0.054552773850701175,0.0029056226116119447,0.0011766433394560067,0.001176649548458249,0.0,0.06201063880387178,0.006387030401896739,0.0005378423573970969,0.0005378450809668845,0.0004185461161403427,0.02540146268288918,0.06518809888526127,0.013383676532507324,0.013383688910259837,0.0008112586281493305,0.21821740570223574,0.0,0.0,0.0,0.0,0.0,0.005726795038481604,0.002570216764510821,0.0025702412374861592,0.000982506749247069,0.04327091073372885,95.72649572649573
9.748183727264404,3.8949467301368714,-1.251511001586914,0.039977794885635375,70.2997386932373,7.595787191390992,3.61333190202713,-1.5331257462501526,0.029133358597755434,49.11588592529297,6.3075072288513185,3.6367759585380552,-1.5096817851066588,0.045677804946899415,56.6349100112915,6.687763810157776,3.4944045662879946,-1.6520531058311463,0.029888916015625,43.688940620422365,3.3527751564979553,2.754511260986328,-2.3919464707374574,0.026811137795448303,20.508319282531737,31.296105003356935,4.650940155982971,-0.49551734924316404,0.03511112928390503,114.63555908203125,14.123029375076294,3.903531527519226,-1.2429262161254884,0.028966641426086424,42.64902191162109,0.008626482874287179,0.0012359088672623095,0.0012359217639791946,0.0002211036759575814,0.06121577870528695,0.009840405264948131,0.0008825779639861115,0.0008825961037823101,0.00032125470406983237,0.05291993507271402,0.004899674854331677,0.0014110788477116657,0.0014110695961362537,0.0001486457606001138,0.08345802544323241,0.00427846578885626,0.0005566090167861585,0.000556607653422382,0.0004067365353129839,0.01972696611355486,0.07481666000259508,0.014761417168471788,0.014761394367974226,0.001059404123465155,0.22135387637267281,0.0002623246547797811,2.0053525441639528e-05,1.996268383765908e-05,0.0,0.0,0.010338999460663342,0.0017136367588842212,0.0017136853648102102,0.0008728503750276437,0.03540862163681121,91.45299145299145
21.655630111694336,4.559334778785706,-0.5871228694915771,0.015333306789398194,94.26738662719727,21.10414981842041,4.5256610870361325,-0.6207965612411499,0.011633309721946716,92.62546501159667,20.710514068603516,4.501630353927612,-0.6448273897171021,0.012122184038162231,90.11565933227538,20.425454711914064,4.484565711021423,-0.6618919849395752,0.010588863492012024,90.26438598632812,20.99133186340332,4.508333015441894,-0.638124680519104,0.009611096978187562,93.78520965576172,32.1478385925293,4.6552252769470215,-0.49123287200927734,0.03466671705245972,115.646484375,21.699177551269532,4.168732213973999,-0.9777255773544311,0.03207775950431824,61.19552307128906,0.004688829173633713,0.0003196173872751864,0.00031964852433352323,0.0006085822157265335,0.009427452347879476,0.003798922657901283,0.00029923826866725734,0.00029925404541172813,0.00025603968097091004,0.008896112676007121,0.0025081619291699793,0.00019745416782069323,0.00019751821540419536,0.0001788141911226654,0.013572052377102031,0.003178878900965661,0.0006084085710206875,0.0006085062051452188,0.000292078277649419,0.00876370135319995,0.13762629243611402,0.006037309452342493,0.006037272308789335,0.0006121179377735892,0.7969522354144372,0.0,0.0,0.0,0.0,0.0,0.007388712220073297,0.001900438654000952,0.0019004726883150474,0.0006412758325473622,0.06637943681267444,87.17948717948718
28.59814386367798,4.799230098724365,-0.3472275733947754,0.01859998106956482,118.77453575134277,28.226859951019286,4.786135315895081,-0.360322380065918,0.017244419455528258,118.50027351379394,28.256912899017333,4.786342477798462,-0.3601152181625366,0.020022201538085937,117.27859687805176,27.89917106628418,4.774874997138977,-0.3715827941894531,0.019455531239509584,117.48755836486816,28.44562358856201,4.7951290845870975,-0.3513286352157593,0.010022199153900147,121.35421676635742,32.86220932006836,4.648984432220459,-0.49747371673583984,0.034444451332092285,115.91583251953125,28.21849670410156,4.3375941753387455,-0.8088634967803955,0.024266642332077027,79.89129943847657,0.002862235020746922,0.00010190357038118323,0.00010194550949713003,0.0006249928215228676,0.007379998739287226,0.0025195553818962526,0.00012944990489151565,0.00012948017614850996,0.00037450447893051396,0.006770328866055896,0.0012655486390126655,9.425191542457477e-05,9.424264832303687e-05,0.00017067975609334808,0.00635879890034071,0.004034062351691299,0.00010734294721300988,0.00010737589338325551,0.0005419396161340028,0.006026052470215646,0.24419587159165387,0.010115964632020106,0.010115890795734899,0.001239081801208782,2.1511883408747408,0.0,0.0,0.0,0.0,0.0,0.007480537486056245,0.0019729904355819073,0.0019730023344035007,0.0008905545945381731,0.037293859009931436,82.90598290598291
31.213404273986818,4.88022665977478,-0.2662310838699341,0.02214444875717163,127.07999877929687,30.826188945770262,4.8673224449157715,-0.27913522720336914,0.015311121940612793,126.50968627929687,31.00270938873291,4.872254586219787,-0.27420315742492674,0.017577806115150453,125.63758392333985,30.71705493927002,4.86263415813446,-0.2838235139846802,0.013700011372566222,125.56054420471192,31.995671844482423,4.904963088035584,-0.24149463176727295,0.019777801632881165,132.67436447143555,33.60245208740234,4.638751912117004,-0.5077056407928466,0.03422224521636963,116.11551322937012,30.83544979095459,4.398344612121582,-0.7481131315231323,0.018722203373908997,88.5066162109375,0.0023567232509823606,8.344648906162694e-05,8.323212402022968e-05,0.0001452861004607645,0.008730209317929088,0.0020249645454193136,7.079707127749429e-05,7.078727514214969e-05,0.0015168109041279437,0.006239657487306561,0.0016386252343943747,5.661715410792673e-05,5.6631333781428305e-05,0.0002096455736385008,0.00956686539266597,0.0031852577745943972,0.00011518716641880629,0.00011514817431211731,0.00037365748982949636,0.0054776812085201255,1.3760800801158026,0.037502317112601116,0.037502221646658056,0.005344438603280198,5.423712684355034,1.5258789062499997e-06,8.22219231624678e-06,8.301487052937516e-06,0.0,0.0004167736145628361,0.004263809295696725,0.0022430510828910914,0.002243026358458109,0.001732585777900198,0.03906544276418144,78.63247863247864
33.32617130279541,4.940534949302673,-0.20592279434204103,0.03768889904022217,135.26549606323243,32.97485237121582,4.9306989192962645,-0.2157588481903076,0.03803335130214691,134.85636520385742,33.042428207397464,4.931741547584534,-0.21471621990203857,0.0349778026342392,134.00292739868163,32.7966365814209,4.92516827583313,-0.22128942012786865,0.03471114337444305,134.07754821777343,33.53459644317627,4.947239828109741,-0.19921793937683105,0.03376668095588684,137.48844223022462,34.85869789123535,4.6755273818969725,-0.4709305286407471,0.03777778148651123,122.23445129394531,32.92168006896973,4.494322943687439,-0.6521347999572754,0.01144442856311798,98.12321586608887,0.0019535191983786155,5.899554406852473e-05,5.8953428005222894e-05,0.00010885832024926768,0.007867051160503688,0.0016194978597864793,7.376177647384045e-05,7.381154271720393e-05,0.000399240766709156,0.007996688470949066,0.0015608602446841218,7.336481375883309e-05,7.336360505319664e-05,0.00016329721399826105,0.00833958681652178,0.0048534265284304575,0.00013493291006162265,0.00013492608318072777,0.0005286739268423671,0.007102083013991839,1.1792626250771898,0.03079587309689044,0.030795897601227834,0.002593892985715106,4.705720265554002,7.187440369192799e-06,9.489418866428947e-06,9.481628422032764e-06,0.0,0.0003702340080072661,0.003474405432711087,0.0014869601533830878,0.0014869008860934536,0.001082972957160861,0.028751286315077833,74.35897435897436
34.5570369720459,4.973833417892456,-0.17262425422668456,0.04374448359012604,139.67036056518555,34.281426429748535,4.965893864631653,-0.1805637836456299,0.04095557928085327,139.39742202758788,34.410982322692874,4.968244051933288,-0.17821359634399414,0.040222227573394775,138.56300506591796,34.131830024719235,4.961190724372864,-0.18526701927185057,0.03904447555541992,138.7498306274414,34.87628517150879,4.982884049415588,-0.16357364654541015,0.04157779216766357,142.28997039794922,35.42418384552002,4.654678153991699,-0.4917795658111572,0.03866666555404663,122.53936004638672,34.14072151184082,4.497857141494751,-0.6486006498336792,0.012555530667304993,104.29253044128419,0.002181703673156501,8.470701756309163e-05,8.471963253569435e-05,7.936473670612661e-05,0.00716126341897691,0.003044412564996183,9.939897598232084e-05,9.933630486799578e-05,0.00025434683425185203,0.008250138792932713,0.00038174519129771656,3.7692605029223896e-05,3.764145399057402e-05,0.0,0.004877191884907234,0.0012354699527369823,4.843629961960756e-05,4.8420436214769784e-05,0.00012371912923234894,0.009099817676661416,1.2610180075235786,0.0317780089181531,0.03177801009506265,0.0017678889223024126,4.862829546931362,2.9961162705240265e-05,2.2861047394056263e-05,2.2784884122061265e-05,0.0,0.0,0.005853668565875354,0.0016232703694530302,0.001623353397249942,0.0010738151043565463,0.026221194617297564,70.08547008547009
35.89203090667725,5.009204626083374,-0.13725316524505615,0.047333359718322754,144.1736976623535,35.6510534286499,5.002794766426087,-0.14366295337677001,0.04651113748550415,143.8890411376953,35.768394470214844,5.004506516456604,-0.14195117950439454,0.044022247195243835,143.13319473266603,35.50838222503662,4.9983231782913204,-0.14813449382781982,0.04443333148956299,143.22847213745118,36.19766387939453,5.017679572105408,-0.12877812385559081,0.04496668577194214,146.1424575805664,36.2604320526123,4.661362433433533,-0.48509504795074465,0.03733336925506592,125.75802040100098,35.4916275024414,4.540719819068909,-0.605737829208374,0.0007222175598144531,111.22867851257324,0.000527818854047947,2.6372371283779743e-05,2.6352695777383395e-05,0.0,0.0063879357700056625,0.0036604869497064885,0.00010448322314004614,0.00010439123929793017,0.00019998550415039064,0.007615099828685505,0.0012013698478700904,3.633495234439777e-05,3.626239211971304e-05,0.00018458579697197344,0.005882492704156312,0.0023601086123521595,5.69876215208642e-05,5.6986823539613877e-05,4.842870015358814e-05,0.007958607979223271,0.9780172226678104,0.02421116861852475,0.024211283354818283,0.0011183712013568272,3.9344566592631574,5.835489424709916e-05,3.719313786545393e-05,3.7151237999898344e-05,0.0,0.00018967716682524754,0.0035033737322709394,0.001769315994159889,0.0017693281692559054,0.0005437645280482622,0.032867450968684445,65.81196581196582
36.321943283081055,5.018469047546387,-0.12798855304718018,0.04835556149482727,145.41350784301758,36.2590612411499,5.0169230699539185,-0.12953462600708007,0.04813335537910461,145.41276626586915,36.2694393157959,5.01570508480072,-0.1307525396347046,0.04704447388648987,144.6759811401367,36.214710807800294,5.01496798992157,-0.13148972988128663,0.047444456815719606,144.97552032470702,36.6066177368164,5.027258491516113,-0.11919915676116943,0.047188910841941836,147.26611328125,36.54750423431396,4.628739523887634,-0.5177182197570801,0.03891113996505737,126.09851303100587,36.25751724243164,4.497594952583313,-0.6488628149032593,0.008477798104286194,116.16968269348145,0.13876992567877197,0.003631356696524992,0.0036313326466525654,0.00026666522026062015,0.3776812926829883,0.10544652584154034,0.0028727256402150503,0.002872733225558854,0.00026666522026062015,0.36090194133222825,0.14421782014373793,0.0036871457862259964,0.0036871300118807527,0.00010185494879776434,0.3791032522311034,0.09972049204948275,0.002701997894859159,0.002701853864579354,0.00020488007898014253,0.3229759137037545,0.9624215610388208,0.023738906032433726,0.02373880488662964,0.0005224546167418467,4.0154142140522175,0.09584878292157241,0.0017463036834617703,0.0017462008483573879,0.0005999922752380372,0.20185784749334035,0.14447985871153443,0.01463769173667753,0.014637737069858468,0.0013449065062098203,0.04796096761215951,61.53846153846154
