GP-RBF RMSE,GP-RBF NLPD,GP-RBF MSLL,GP-RBF Coverage,GP-RBF Interval Len,GP-RBF Time,GP-Laplace RMSE,GP-Laplace NLPD,GP-Laplace MSLL,GP-Laplace Coverage,GP-Laplace Interval Len,GP-Laplace Time,GP-ARD-RBF RMSE,GP-ARD-RBF NLPD,GP-ARD-RBF MSLL,GP-ARD-RBF Coverage,GP-ARD-RBF Interval Len,GP-ARD-RBF Time,GP-ARD-Laplace RMSE,GP-ARD-Laplace NLPD,GP-ARD-Laplace MSLL,GP-ARD-Laplace Coverage,GP-ARD-Laplace Interval Len,GP-ARD-Laplace Time,GP-RFM-Laplace RMSE,GP-RFM-Laplace NLPD,GP-RFM-Laplace MSLL,GP-RFM-Laplace Coverage,GP-RFM-Laplace Interval Len,GP-RFM-Laplace Time,NG-Boost RMSE,NG-Boost NLPD,NG-Boost MSLL,NG-Boost Coverage,NG-Boost Interval Len,NG-Boost Time,Cat-Boost-Ensemble RMSE,Cat-Boost-Ensemble NLPD,Cat-Boost-Ensemble MSLL,Cat-Boost-Ensemble Coverage,Cat-Boost-Ensemble Interval Len,Cat-Boost-Ensemble Time,GP-RBF RMSE std,GP-RBF NLPD std,GP-RBF MSLL std,GP-RBF Coverage std,GP-RBF Interval Len std,GP-RBF Time std,GP-Laplace RMSE std,GP-Laplace NLPD std,GP-Laplace MSLL std,GP-Laplace Coverage std,GP-Laplace Interval Len std,GP-Laplace Time std,GP-ARD-RBF RMSE std,GP-ARD-RBF NLPD std,GP-ARD-RBF MSLL std,GP-ARD-RBF Coverage std,GP-ARD-RBF Interval Len std,GP-ARD-RBF Time std,GP-ARD-Laplace RMSE std,GP-ARD-Laplace NLPD std,GP-ARD-Laplace MSLL std,GP-ARD-Laplace Coverage std,GP-ARD-Laplace Interval Len std,GP-ARD-Laplace Time std,GP-RFM-Laplace RMSE std,GP-RFM-Laplace NLPD std,GP-RFM-Laplace MSLL std,GP-RFM-Laplace Coverage std,GP-RFM-Laplace Interval Len std,GP-RFM-Laplace Time std,NG-Boost RMSE std,NG-Boost NLPD std,NG-Boost MSLL std,NG-Boost Coverage std,NG-Boost Interval Len std,NG-Boost Time std,Cat-Boost-Ensemble RMSE std,Cat-Boost-Ensemble NLPD std,Cat-Boost-Ensemble MSLL std,Cat-Boost-Ensemble Coverage std,Cat-Boost-Ensemble Interval Len std,Cat-Boost-Ensemble Time std,dataset,samples,features
4.1983,2.8004,-1.5278,0.0407,29.0699,13.2314,3.8907,2.5481,-1.7801,0.0310,15.5996,10.8411,3.3840,2.6651,-1.6631,0.0430,23.5181,10.5879,2.7746,2.3010,-2.0272,0.0279,11.7734,10.7739,2.3291,2.2050,-2.1232,0.0206,10.0737,10.9167,2.4774,2.3276,-2.0006,0.0077,8.5031,23.0311,2.5011,2.1699,-2.1583,0.0081,8.0882,27.3657,0.3682,0.0687,0.0743,0.0030,2.8943,0.7587,0.2875,0.0244,0.0369,0.0029,0.1433,0.5874,0.2889,0.0397,0.0447,0.0019,1.1309,0.2967,0.2081,0.0248,0.0365,0.0029,0.0615,0.5581,0.1149,0.0131,0.0302,0.0032,0.1053,0.3581,0.0915,0.1373,0.1419,0.0057,0.7630,3.3259,0.1260,0.0295,0.0323,0.0042,0.0825,4.0987,cpu-act,8192,21
8.1744,3.7279,-1.4256,0.0402,60.3733,12.4684,6.4355,3.4294,-1.7241,0.0281,40.8013,17.3032,3.2847,3.0698,-2.0837,0.0462,33.9202,13.7665,3.5131,2.8353,-2.3182,0.0330,22.9351,17.0843,3.3721,2.7280,-2.4254,0.0301,19.6895,17.8368,12.0208,3.5523,-1.6011,0.0150,42.2595,18.9153,4.9089,2.0865,-3.0670,0.0136,10.6416,24.1609,0.2212,0.0083,0.0137,0.0012,0.5259,0.1706,0.1414,0.0064,0.0109,0.0021,0.2545,0.4992,0.0940,0.0091,0.0139,0.0006,0.3687,0.2516,0.1060,0.0070,0.0125,0.0021,0.1555,0.4549,0.1531,0.0144,0.0169,0.0024,0.1998,0.5048,0.2321,0.0134,0.0145,0.0023,0.4839,0.1735,0.1442,0.0324,0.0356,0.0041,0.1790,3.7644,pol,15000,26
0.0022,-4.4642,-0.8816,0.0400,0.0166,22.3781,0.0022,-4.6729,-1.0903,0.0259,0.0105,20.3693,0.0022,-4.5271,-0.9444,0.0404,0.0151,20.7872,0.0021,-4.7496,-1.1670,0.0244,0.0097,20.3881,0.0019,-4.8622,-1.2796,0.0154,0.0081,21.7328,0.0036,-4.4798,-0.8971,0.0047,0.0115,23.8299,0.0023,-4.7321,-1.1494,0.0451,0.0068,23.4951,0.0000,0.0313,0.0401,0.0017,0.0008,0.5291,0.0000,0.0090,0.0116,0.0023,0.0001,0.1979,0.0001,0.0177,0.0229,0.0014,0.0004,0.1944,0.0000,0.0092,0.0137,0.0030,0.0001,0.2434,0.0000,0.0085,0.0140,0.0025,0.0001,0.3192,0.0001,0.0151,0.0134,0.0030,0.0001,0.1544,0.0000,0.0183,0.0205,0.0042,0.0001,2.5942,elevators,16599,16
7.5039,3.4345,0.0000,0.0500,29.4934,6.6856,7.5039,3.4344,0.0000,0.0500,29.5290,11.4205,7.5039,3.4345,0.0000,0.0500,29.4947,7.8513,7.5039,3.4345,0.0000,0.0500,29.5526,11.8644,2.5696,2.3408,-1.0937,0.0057,9.9181,12.8427,4.1270,2.7053,-0.7292,0.0041,14.5239,830.8086,3.4882,2.5194,-0.9150,0.0395,10.1068,258.7036,0.0491,0.0065,0.0001,0.0000,0.1699,0.0760,0.0491,0.0065,0.0001,0.0000,0.0978,0.7336,0.0491,0.0065,0.0001,0.0000,0.1697,0.0784,0.0490,0.0065,0.0001,0.0000,0.1406,0.4897,0.0979,0.0373,0.0395,0.0043,0.3743,0.7516,0.0689,0.0157,0.0152,0.0028,0.1299,3.0250,0.0693,0.0215,0.0224,0.0072,0.1052,17.4887,isolet,7797,613
0.6684,1.0380,-0.2486,0.0152,3.1303,6.8032,0.6086,0.9493,-0.3374,0.0176,2.9237,11.1491,0.6699,1.0434,-0.2432,0.0172,3.1711,6.8614,0.6114,0.9496,-0.3370,0.0165,2.8888,10.9450,0.6105,0.9494,-0.3373,0.0168,2.8991,11.2258,0.6981,1.0351,-0.2515,0.0135,2.5327,9.9671,0.6910,1.0276,-0.2590,0.0201,2.4433,21.8260,0.0190,0.0237,0.0198,0.0060,0.1727,0.1487,0.0172,0.0152,0.0104,0.0051,0.0482,0.5616,0.0208,0.0258,0.0211,0.0065,0.1556,0.1672,0.0175,0.0155,0.0106,0.0063,0.0613,1.3206,0.0170,0.0151,0.0101,0.0053,0.0597,0.6049,0.0153,0.0256,0.0157,0.0082,0.0505,1.1130,0.0159,0.0273,0.0161,0.0124,0.1155,3.3698,wine-quality,6497,11
0.0002,-7.1758,-0.7944,0.0341,0.0010,14.1305,0.0002,-7.3105,-0.9291,0.0122,0.0007,15.6566,0.0002,-7.1859,-0.8045,0.0364,0.0010,14.0530,0.0002,-7.3346,-0.9531,0.0108,0.0007,15.4564,0.0002,-7.3728,-0.9914,0.0061,0.0007,16.4483,0.0002,-7.4229,-1.0415,0.0042,0.0006,29.3339,0.0002,-7.4136,-1.0322,0.0071,0.0006,27.1441,0.0000,0.0275,0.0307,0.0028,0.0000,0.2561,0.0000,0.0092,0.0094,0.0029,0.0000,1.0279,0.0000,0.0146,0.0165,0.0021,0.0000,0.1516,0.0000,0.0094,0.0102,0.0031,0.0000,0.6676,0.0000,0.0094,0.0112,0.0031,0.0000,1.1083,0.0000,0.0113,0.0112,0.0025,0.0000,0.1665,0.0000,0.0131,0.0122,0.0037,0.0000,2.6503,Ailerons,13750,33
0.2555,0.1620,-0.6921,0.0346,1.4874,15.6545,0.2528,0.0727,-0.7813,0.0216,1.2362,32.4636,0.2425,0.1618,-0.6923,0.0388,1.5535,15.7538,0.2087,-0.0989,-0.9529,0.0290,1.1205,32.3049,0.2190,-0.0740,-0.9280,0.0232,1.0871,34.3996,0.2826,0.0747,-0.7793,0.0041,1.0640,31.9747,0.2345,-0.1249,-0.9790,0.0387,0.6976,27.8312,0.0037,0.0054,0.0070,0.0010,0.0096,0.2366,0.0038,0.0067,0.0077,0.0020,0.0080,1.2917,0.0038,0.0059,0.0082,0.0012,0.0107,0.1899,0.0035,0.0064,0.0072,0.0020,0.0086,0.6497,0.0032,0.0066,0.0086,0.0020,0.0087,1.0498,0.0036,0.0127,0.0098,0.0024,0.0051,0.2022,0.0028,0.0191,0.0198,0.0032,0.0049,2.6283,houses,20640,8
0.6324,0.8378,-0.4487,0.0406,2.8425,20.8717,0.6096,0.7220,-0.5644,0.0325,2.2368,39.2961,0.6352,0.8382,-0.4483,0.0408,2.8555,22.2921,0.6077,0.7171,-0.5694,0.0328,2.2158,39.1299,0.6063,0.6899,-0.5966,0.0318,2.1696,41.8046,0.6031,0.5686,-0.7179,0.0078,1.5809,72.4206,0.5956,0.5125,-0.7740,0.0041,1.4476,32.0270,0.0281,0.0294,0.0323,0.0016,0.2764,6.4480,0.0274,0.0241,0.0154,0.0022,0.0525,0.6178,0.0253,0.0234,0.0320,0.0017,0.2688,7.0148,0.0269,0.0242,0.0172,0.0021,0.0520,0.1318,0.0260,0.0241,0.0171,0.0025,0.0602,0.9823,0.0280,0.0467,0.0374,0.0029,0.0292,5.3819,0.0308,0.0586,0.0511,0.0035,0.0891,3.3470,house-16H,22784,16
0.3409,128.4460,127.2512,0.1723,0.6436,17.3515,0.0622,-1.4862,-2.6810,0.0451,0.3345,12.3126,0.0646,-2.1872,-3.3820,0.0459,0.1688,9.7154,0.0537,-1.8204,-3.0153,0.0473,0.2136,12.4825,0.0414,-2.1078,-3.3026,0.0488,0.1406,12.8021,0.0529,-2.1812,-3.3761,0.0194,0.1081,11.5133,0.0541,-2.4903,-3.6851,0.0398,0.0833,23.4218,0.7303,506.4790,506.4815,0.2795,0.4977,6.7992,0.0281,0.0729,0.0726,0.0016,0.0393,0.5714,0.0318,0.0338,0.0301,0.0017,0.0076,0.7173,0.0284,0.1340,0.1317,0.0011,0.0055,1.0629,0.0181,0.0600,0.0592,0.0005,0.0049,0.8225,0.0243,0.1506,0.1484,0.0049,0.0088,0.5235,0.0318,0.5864,0.5834,0.0042,0.0126,2.4005,Brazilian-houses,10692,8
110.0164,6.1724,-0.4507,0.0135,544.7001,12.4240,108.5130,6.1472,-0.4759,0.0095,520.2480,22.4437,99.5496,6.0465,-0.5765,0.0089,446.8315,12.8033,100.2501,6.0335,-0.5896,0.0176,417.9397,22.5115,100.4792,6.0351,-0.5879,0.0192,415.9705,24.3658,104.1888,5.6200,-1.0030,0.0114,337.6296,12.8066,100.3143,5.5759,-1.0472,0.0025,310.3412,20.1121,1.5813,0.0069,0.0098,0.0026,3.7165,0.0800,1.7637,0.0096,0.0101,0.0037,16.0873,0.1403,1.1839,0.0084,0.0117,0.0042,9.7015,0.0661,1.1656,0.0096,0.0101,0.0031,2.5062,0.2084,1.2527,0.0102,0.0103,0.0038,4.3815,1.6734,1.2904,0.0110,0.0144,0.0028,2.7606,0.1632,1.1865,0.0120,0.0172,0.0022,2.2997,2.7261,Bike-Sharing-Demand,17379,6
0.2215,0.0370,-0.7429,0.0401,1.3997,24.7769,0.2034,-0.1850,-0.9649,0.0115,0.9016,35.0244,0.2028,-0.0021,-0.7820,0.0416,1.3650,22.9284,0.1808,-0.3033,-1.0832,0.0127,0.8016,35.0499,0.1755,-0.3151,-1.0950,0.0177,0.8292,37.4970,0.2029,-0.2679,-1.0478,0.0026,0.7642,39.2063,0.1957,-0.3125,-1.0924,0.0136,0.6815,29.7815,0.0051,0.0182,0.0177,0.0019,0.0306,3.0601,0.0027,0.0078,0.0048,0.0027,0.0043,0.1595,0.0037,0.0137,0.0141,0.0008,0.0191,0.4003,0.0020,0.0060,0.0060,0.0020,0.0031,0.2341,0.0016,0.0065,0.0089,0.0019,0.0085,0.5236,0.0020,0.0083,0.0081,0.0015,0.0033,0.2366,0.0031,0.0118,0.0095,0.0090,0.0337,3.3777,house-sales,21613,15
0.0190,-2.4195,-0.9082,0.0466,0.1279,7.6919,0.0166,-2.8149,-1.3036,0.0395,0.0770,12.2545,0.0189,-2.4195,-0.9082,0.0467,0.1280,7.8406,0.0169,-2.8138,-1.3025,0.0394,0.0775,12.6240,0.0171,-2.7849,-1.2736,0.0395,0.0781,12.9883,0.0256,-2.5867,-1.0755,0.0145,0.0630,11.3634,0.0244,-2.7647,-1.2535,0.0141,0.0518,25.1911,0.0038,0.0201,0.0728,0.0012,0.0043,0.0673,0.0042,0.0660,0.0566,0.0019,0.0027,1.4937,0.0039,0.0195,0.0677,0.0012,0.0034,0.0885,0.0041,0.0703,0.0552,0.0015,0.0017,1.4911,0.0044,0.0810,0.0629,0.0022,0.0028,1.2052,0.0042,0.4146,0.3827,0.0141,0.0118,4.3508,0.0046,0.3969,0.3758,0.0162,0.0154,4.0039,sulfur,10081,6
0.1803,0.0074,-0.8461,0.0439,1.4077,10.2637,0.1655,-0.3567,-1.2102,0.0168,0.8053,15.4859,0.1785,0.0044,-0.8492,0.0441,1.4056,10.1812,0.1486,-0.4600,-1.3136,0.0216,0.7449,15.4611,0.1485,-0.4744,-1.3279,0.0178,0.7233,16.6506,0.1997,-0.3802,-1.2337,0.0055,0.7269,38.6213,0.1813,-0.5299,-1.3834,0.0141,0.5753,30.2160,0.0047,0.0084,0.0162,0.0011,0.0248,1.4351,0.0041,0.0117,0.0127,0.0036,0.0073,0.5375,0.0045,0.0036,0.0140,0.0010,0.0073,0.0596,0.0032,0.0089,0.0098,0.0024,0.0049,0.6357,0.0027,0.0087,0.0134,0.0028,0.0063,0.7884,0.0038,0.0143,0.0127,0.0037,0.0061,0.2251,0.0078,0.0164,0.0162,0.0190,0.0523,4.1676,MiamiHousing2016,13932,13
11.9302,4.2074,-0.7456,0.0363,91.1963,15.8843,9.4970,4.0099,-0.9430,0.0281,72.7501,34.5985,11.8767,4.2020,-0.7509,0.0364,90.8332,17.0431,9.5881,3.9596,-0.9933,0.0291,68.9498,34.4697,342.2104,1740.1011,1735.1484,0.0409,93.3640,71.6949,13.2014,3.6477,-1.3052,0.0064,43.5723,262.9271,10.9449,3.4594,-1.4935,0.0236,29.7679,61.2334,0.2640,0.0045,0.0097,0.0014,0.5064,0.0842,0.2163,0.0127,0.0147,0.0017,0.7574,0.6591,0.2608,0.0046,0.0099,0.0017,0.5023,0.0734,0.2008,0.0106,0.0132,0.0020,0.6899,0.5762,1434.1017,5793.8650,5793.8646,0.0362,34.0538,83.6162,0.1743,0.0177,0.0177,0.0028,0.3922,1.4310,1.0811,0.1136,0.1156,0.0174,6.6060,5.3609,superconduct,21263,79
0.1614,-0.3129,-0.6990,0.0325,0.9172,16.3839,0.1591,-0.3960,-0.7821,0.0201,0.7693,32.4422,0.1478,-0.3194,-0.7055,0.0389,0.9698,16.1321,0.1233,-0.6350,-1.0211,0.0246,0.6407,32.3389,0.1297,-0.5954,-0.9815,0.0224,0.6503,34.3716,0.1674,-0.4479,-0.8340,0.0027,0.6248,35.9571,0.1443,-0.5852,-0.9713,0.0396,0.4275,28.9227,0.0025,0.0082,0.0087,0.0013,0.0064,0.2506,0.0026,0.0148,0.0149,0.0017,0.0112,0.8164,0.0016,0.0052,0.0071,0.0011,0.0066,0.2493,0.0020,0.0067,0.0073,0.0022,0.0045,0.9311,0.0018,0.0056,0.0081,0.0021,0.0048,0.7675,0.0019,0.0110,0.0103,0.0015,0.0044,0.2644,0.0017,0.0235,0.0257,0.0040,0.0043,3.3222,california,20640,8
0.8447,1.2718,-0.4533,0.0194,4.1114,13.9853,0.8367,1.2434,-0.4817,0.0132,3.6669,24.2460,0.8226,1.2295,-0.4957,0.0108,3.8480,14.5917,0.8203,1.2215,-0.5037,0.0131,3.7242,24.4010,0.8093,1.2056,-0.5196,0.0068,3.5477,26.2624,0.7746,1.0939,-0.6313,0.0136,2.8662,14.2918,0.7768,1.0964,-0.6288,0.0147,2.8305,25.0984,0.0112,0.0083,0.0090,0.0032,0.0515,0.6240,0.0106,0.0092,0.0113,0.0023,0.0112,0.1180,0.0091,0.0068,0.0077,0.0027,0.0312,0.1479,0.0102,0.0091,0.0106,0.0043,0.1273,0.2973,0.0135,0.0194,0.0193,0.0049,0.2081,1.3755,0.0096,0.0116,0.0134,0.0030,0.0161,0.6475,0.0101,0.0178,0.0195,0.0033,0.0502,3.5605,fifa,18063,5
